date,open,high,low,close,volume
2024-03-10,464.0,475.0,460.0,469.0,1.3
2024-03-07,463.0,464.1,445.4,463.0,1.98
2024-03-06,442.8,460.8,438.0,454.0,4.56
2024-03-05,463.0,469.0,434.2,434.2,-5.96
2024-03-04,443.9,461.7,443.9,461.7,6.09
2024-03-03,455.0,455.0,434.0,435.2,-4.35
2024-02-29,475.0,475.0,455.0,455.0,-4.39
2024-02-28,488.4,488.4,462.7,475.9,-0.94
2024-02-27,487.8,487.8,462.3,480.4,0.1
2024-02-26,463.7,481.9,463.7,479.9,1.46
2024-02-25,479.3,479.3,463.8,473.0,-3.27
2024-02-22,478.0,490.0,460.0,489.0,2.11
2024-02-21,480.0,483.0,468.0,478.9,-2.07
2024-02-20,490.0,492.0,480.3,489.0,-2.2
2024-02-18,510.0,510.0,487.0,500.0,-3.85
2024-02-15,510.1,520.2,501.0,520.0,0.39
2024-02-14,505.0,521.8,492.0,518.0,3.6
2024-02-13,474.2,505.0,474.2,500.0,3.52
2024-02-12,468.1,523.0,468.1,483.0,1.19
2024-02-11,480.0,487.0,475.6,477.3,-1.38
2024-02-08,490.0,490.0,472.6,484.0,0.0
2024-02-07,470.0,484.5,465.5,484.0,2.87
2024-02-06,454.0,470.5,454.0,470.5,1.62
2024-02-05,452.0,474.3,452.0,463.0,1.98
2024-02-04,456.0,468.8,446.3,454.0,-2.16
2024-02-01,472.4,472.4,456.0,464.0,-3.73
2024-01-31,475.3,486.0,466.0,482.0,-0.21
2024-01-30,490.0,508.0,470.6,483.0,-3.4
2024-01-29,460.0,500.0,452.0,500.0,8.7
2024-01-28,450.0,465.0,446.5,460.0,2.0
2024-01-25,440.0,463.0,438.3,451.0,1.3
2024-01-24,441.0,465.0,441.0,445.2,0.95
2024-01-23,444.0,447.0,426.0,441.0,-2.0
2024-01-22,455.2,478.0,437.0,450.0,-3.02
2024-01-21,479.0,488.0,460.0,464.0,-1.23
2024-01-18,470.5,488.0,461.3,469.8,-2.15
2024-01-17,494.2,514.2,480.1,480.1,-4.78
2024-01-16,496.1,513.0,487.6,504.2,-0.36
2024-01-14,478.0,506.0,470.0,506.0,5.86
2024-01-11,478.7,478.8,460.2,478.0,1.81
2024-01-10,463.0,490.0,456.0,469.5,-0.42
2024-01-09,490.0,500.0,470.0,471.5,-5.7
2024-01-08,492.0,512.0,466.0,500.0,-0.4
2024-01-07,467.1,503.8,440.0,502.0,9.61
2024-01-04,420.0,460.9,411.0,458.0,9.31
2024-01-03,392.1,419.0,392.1,419.0,4.75
2024-01-02,400.0,400.0,392.0,400.0,-1.26
2024-01-01,408.0,416.0,405.1,405.1,-2.41
2023-12-28,414.5,420.0,410.0,415.1,0.14
2023-12-27,412.0,427.0,411.0,414.5,-0.12
2023-12-24,400.0,429.2,391.1,415.0,4.01
2023-12-21,399.9,416.0,392.1,399.0,-2.21
2023-12-20,393.0,414.1,390.2,408.0,2.49
2023-12-19,400.0,402.0,390.0,398.1,-1.02
2023-12-18,419.9,419.9,400.0,402.2,-2.76
2023-12-17,368.5,413.6,361.0,413.6,10.0
2023-12-14,354.8,388.0,349.5,376.0,3.87
2023-12-13,362.0,365.0,350.9,362.0,1.4
2023-12-12,341.7,368.0,330.0,357.0,6.57
2023-12-11,354.9,367.0,331.3,335.0,-3.74
2023-12-10,339.6,360.0,339.6,348.0,4.5
2023-12-07,325.1,333.8,325.1,333.0,0.91
2023-12-06,334.0,336.6,323.4,330.0,0.0
2023-12-05,351.0,351.0,330.0,330.0,-4.21
2023-12-04,337.1,348.0,330.0,344.5,0.17
2023-12-03,333.2,346.0,321.0,343.9,1.15
2023-11-30,341.5,341.5,330.0,340.0,-2.3
2023-11-29,344.0,350.0,332.0,348.0,-0.85
2023-11-28,342.5,351.0,335.3,351.0,0.57
2023-11-27,350.0,352.0,336.2,349.0,-0.14
2023-11-26,343.0,350.0,335.0,349.5,-0.14
2023-11-23,330.5,350.0,318.0,350.0,3.86
2023-11-22,321.4,340.0,310.2,337.0,2.78
2023-11-21,322.5,328.0,305.0,327.9,-0.33
2023-11-20,321.0,334.0,321.0,329.0,0.67
2023-11-09,332.9,332.9,320.2,326.8,0.03
2023-11-08,322.4,327.9,304.0,326.7,3.35
2023-11-07,313.7,333.0,313.7,316.1,-1.25
2023-11-06,320.0,330.0,312.3,320.1,-1.51
2023-11-05,325.4,325.4,304.1,325.0,-2.11
2023-11-02,334.0,334.0,310.0,332.0,1.22
2023-11-01,333.0,338.9,314.6,328.0,0.18
2023-10-31,319.0,327.4,319.0,327.4,0.8
2023-10-30,347.0,352.0,324.8,324.8,-6.67
2023-10-19,337.0,348.0,330.3,348.0,1.46
2023-10-18,335.0,343.7,325.0,343.0,0.88
2023-10-17,337.0,343.0,315.0,340.0,2.63
2023-10-16,331.3,331.3,319.0,331.3,-1.98
2023-10-12,335.0,340.0,322.0,338.0,-0.59
2023-10-11,338.1,348.0,331.5,340.0,-1.45
2023-10-10,346.9,346.9,333.2,345.0,-2.51
2023-10-09,335.2,353.9,328.1,353.9,3.48
2023-10-08,350.0,350.0,335.0,342.0,-3.66
2023-10-05,355.0,355.0,344.0,355.0,-1.39
2023-10-04,360.0,367.2,346.2,360.0,-1.37
2023-10-03,369.8,369.8,342.2,365.0,0.27
2023-10-02,353.0,364.0,337.0,364.0,3.0
2023-10-01,371.5,371.5,345.1,353.4,-6.75
2023-09-27,352.8,387.6,344.1,379.0,5.28
2023-09-26,345.0,360.0,338.1,360.0,5.05
2023-09-25,324.0,342.7,324.0,342.7,5.09
2023-09-24,328.0,346.0,325.5,326.1,-2.37
2023-09-21,323.3,337.0,323.0,334.0,5.36
2023-09-19,310.0,323.0,299.0,317.0,4.28
2023-09-18,303.0,311.9,298.0,304.0,0.0
2023-09-17,309.0,321.0,300.0,304.0,-3.49
2023-09-13,307.0,315.0,300.9,315.0,3.55
2023-09-12,314.0,314.0,302.3,304.2,-1.23
2023-09-11,297.0,320.5,297.0,308.0,1.92
2023-09-10,295.0,311.1,295.0,302.2,0.87
2023-09-07,298.0,300.0,293.0,299.6,-1.12
2023-09-05,298.2,303.0,298.0,303.0,0.0
2023-09-04,302.0,309.6,298.1,303.0,-0.2
2023-09-03,307.0,307.0,300.9,303.6,-1.11
2023-08-30,309.0,317.9,304.1,307.0,-2.63
2023-08-29,310.0,316.0,308.7,315.3,0.16
2023-08-28,302.3,327.1,291.1,314.8,2.08
2023-08-27,311.0,311.1,298.2,308.4,-1.15
2023-08-24,306.1,322.3,306.1,312.0,0.32
2023-08-23,298.0,324.0,298.0,311.0,3.91
2023-08-22,298.1,315.0,286.5,299.3,-1.58
2023-08-21,310.0,320.3,296.7,304.1,-3.18
2023-08-20,323.0,325.0,314.1,314.1,-4.06
2023-08-17,321.5,339.0,316.0,327.4,-0.18
2023-08-16,321.5,328.0,317.1,328.0,0.0
2023-08-15,325.5,328.0,314.2,328.0,-1.2
2023-08-14,325.0,333.5,320.0,332.0,0.3
2023-08-13,338.0,344.0,327.5,331.0,-0.3
2023-08-10,331.5,334.0,321.2,332.0,-1.83
2023-08-09,325.1,338.2,316.0,338.2,4.03
2023-08-08,334.9,345.0,325.1,325.1,-4.86
2023-08-07,328.0,341.7,328.0,341.7,2.27
2023-08-06,345.0,345.0,332.0,334.1,-4.54
2023-08-03,347.5,350.0,342.0,350.0,-0.91
2023-08-02,347.0,354.0,343.0,353.2,-0.2
2023-08-01,359.0,359.0,346.2,353.9,-1.42
2023-07-31,351.6,365.0,351.6,359.0,0.11
2023-07-30,357.0,365.0,357.0,358.6,-1.48
2023-07-27,368.8,375.0,362.7,364.0,-3.27
2023-07-26,367.5,382.0,362.2,376.3,0.35
2023-07-25,380.0,380.0,366.1,375.0,-1.32
2023-07-24,372.5,380.0,370.2,380.0,0.0
2023-07-23,369.5,381.0,369.5,380.0,0.8
2023-07-20,363.0,377.0,363.0,377.0,1.89
2023-07-19,365.0,373.0,363.0,370.0,-0.13
2023-07-18,376.0,385.0,370.0,370.5,-3.26
2023-07-17,389.9,389.9,371.0,383.0,-1.79
2023-07-16,392.0,392.0,369.3,390.0,-2.26
2023-07-13,383.4,399.0,368.7,399.0,1.99
2023-07-12,367.8,392.0,358.0,391.2,4.24
2023-07-11,368.0,375.3,354.1,375.3,0.08
2023-07-10,362.0,395.0,358.0,375.0,2.18
2023-07-09,364.0,367.0,357.0,367.0,-1.08
2023-07-06,367.0,389.3,347.5,371.0,3.06
2023-07-05,362.0,370.2,357.0,360.0,-1.91
2023-07-04,362.0,376.5,362.0,367.0,0.11
2023-07-03,369.0,405.0,363.8,366.6,-2.5
2023-07-02,395.5,395.5,365.7,376.0,-3.09
2023-06-28,408.0,408.0,377.0,388.0,-3.0
2023-06-27,408.0,408.0,376.6,400.0,-0.72
2023-06-26,385.0,402.9,381.2,402.9,3.89
2023-06-25,393.0,393.0,379.1,387.8,-1.32
2023-06-22,390.2,402.0,385.0,393.0,-1.26
2023-06-21,405.0,408.0,392.0,398.0,-1.49
2023-06-20,410.0,414.0,397.6,404.0,-0.74
2023-06-19,421.0,421.0,396.4,407.0,-1.45
2023-06-18,402.0,413.0,402.0,413.0,0.98
2023-06-15,406.7,410.0,402.0,409.0,-1.45
2023-06-14,406.7,415.0,401.0,415.0,0.0
2023-06-13,406.0,422.0,391.0,415.0,2.22
2023-06-12,399.9,415.0,395.1,406.0,-0.49
2023-06-11,396.0,411.0,389.5,408.0,3.03
2023-06-08,398.0,405.0,393.0,396.0,-2.22
2023-06-07,400.0,419.0,397.0,405.0,0.25
2023-06-06,392.0,412.9,386.0,404.0,1.0
2023-06-05,390.0,400.0,387.1,400.0,0.55
2023-06-04,376.0,397.8,376.0,397.8,5.85
2023-06-01,387.2,387.2,370.1,375.8,-1.03
2023-05-31,392.0,397.9,370.1,379.7,-5.08
2023-05-30,401.0,401.0,380.0,400.0,-0.5
2023-05-28,395.4,408.0,395.4,402.0,-0.27
2023-05-24,407.1,420.0,403.1,403.1,-2.87
2023-05-23,412.9,420.9,397.0,415.0,2.49
2023-05-22,408.0,432.8,392.1,404.9,1.22
2023-05-21,401.0,407.0,390.0,400.0,-1.94
2023-05-18,387.0,408.0,380.1,407.9,3.53
2023-05-17,381.0,394.0,381.0,394.0,1.81
2023-05-16,384.2,392.0,377.0,387.0,-1.28
2023-05-15,390.0,392.0,377.5,392.0,-1.48
2023-05-14,405.9,406.0,380.0,397.9,-0.28
2023-05-11,383.0,399.0,382.4,399.0,3.07
2023-05-10,388.2,400.0,382.3,387.1,-2.25
2023-05-09,383.7,399.8,383.7,396.0,1.2
2023-05-08,394.0,401.6,391.0,391.3,-2.66
2023-05-07,398.0,402.0,390.4,402.0,-0.5
2023-05-04,403.8,404.4,390.2,404.0,-1.92
2023-05-03,397.3,411.9,391.0,411.9,1.73
2023-05-02,405.0,407.0,394.0,404.9,0.17
2023-04-30,408.9,409.0,401.0,404.2,-3.07
2023-04-27,410.0,417.0,404.1,417.0,1.68
2023-04-26,409.2,415.0,409.2,410.1,-1.65
2023-04-25,407.1,417.2,407.1,417.0,0.46
2023-04-24,407.0,415.1,407.0,415.1,0.02
2023-04-23,415.5,432.1,408.5,415.0,-2.1
2023-04-20,423.4,426.1,413.0,423.9,-1.88
2023-04-19,428.3,433.0,418.0,432.0,-1.14
2023-04-18,410.0,437.0,408.0,437.0,5.53
2023-04-17,420.0,421.8,412.6,414.1,-1.4
2023-04-16,437.0,437.0,420.0,420.0,-3.89
2023-04-13,436.0,444.0,422.1,437.0,-1.75
2023-04-12,444.0,446.0,419.2,444.8,2.02
2023-04-11,415.0,436.0,411.0,436.0,4.08
2023-04-10,411.1,418.9,411.0,418.9,0.0
2023-04-09,421.4,421.4,407.8,418.9,-2.58
2023-04-06,435.5,435.5,418.5,430.0,0.7
2023-04-05,420.0,427.0,411.4,427.0,0.02
2023-04-04,416.1,427.3,412.1,426.9,0.68
2023-04-03,415.0,424.0,415.0,424.0,0.59
2023-04-02,427.0,430.0,419.0,421.5,-1.29
2023-03-30,434.9,448.8,423.1,427.0,-1.82
2023-03-29,428.0,434.9,421.0,434.9,-0.25
2023-03-28,423.1,441.1,423.1,436.0,1.37
2023-03-27,418.1,431.0,418.0,430.1,0.96
2023-03-26,425.1,430.0,417.1,426.0,-1.71
2023-03-23,445.0,446.0,431.1,433.4,-4.52
2023-03-22,455.0,468.9,445.0,453.9,-1.54
2023-03-20,432.0,463.0,432.0,461.0,4.77
2023-03-19,443.8,451.0,437.0,440.0,-2.83
2023-03-16,450.0,468.1,433.5,452.8,-1.35
2023-03-15,422.7,460.0,413.2,459.0,6.42
2023-03-14,402.0,431.3,395.4,431.3,7.29
2023-03-13,404.0,405.0,400.0,402.0,-0.62
2023-03-12,409.0,415.0,403.9,404.5,-3.0
2023-03-09,397.2,419.0,397.2,417.0,2.96
2023-03-07,407.0,409.5,395.0,405.0,1.22
2023-03-05,412.0,412.0,400.1,400.1,-2.91
2023-03-02,409.2,417.0,409.2,412.1,-0.72
2023-03-01,420.0,420.0,414.0,415.1,-1.64
2023-02-28,409.8,428.0,409.8,422.0,0.96
2023-02-27,419.0,426.6,408.0,418.0,-1.42
2023-02-26,413.7,424.0,407.0,424.0,0.47
2023-02-23,424.9,433.5,417.0,422.0,-2.65
2023-02-22,410.0,446.0,408.1,433.5,4.46
2023-02-20,408.0,415.0,403.2,415.0,1.22
2023-02-16,410.0,421.1,410.0,410.0,-0.73
2023-02-15,409.0,420.0,409.0,413.0,-0.96
2023-02-14,397.1,420.2,397.1,417.0,3.47
2023-02-12,406.0,428.5,400.0,403.0,-2.18
2023-02-09,407.0,416.0,407.0,412.0,-0.48
2023-02-08,420.0,423.0,412.0,414.0,-0.96
2023-02-07,396.0,419.0,395.4,418.0,5.53
2023-02-06,398.0,402.1,393.1,396.1,-0.97
2023-02-05,394.1,408.9,392.1,400.0,1.5
2023-02-02,394.1,408.0,394.1,394.1,-1.6
2023-02-01,395.0,411.0,395.0,400.5,-0.62
2023-01-31,402.0,418.0,395.0,403.0,0.25
2023-01-30,416.0,424.0,402.0,402.0,-3.18
2023-01-29,407.0,426.0,398.9,415.2,2.01
2023-01-26,403.1,418.0,403.1,407.0,-0.97
2023-01-25,400.0,423.4,394.4,411.0,0.98
2023-01-24,401.0,413.1,392.2,407.0,0.49
2023-01-23,415.0,427.0,402.1,405.0,-3.8
2023-01-19,420.0,422.0,410.0,421.0,-1.52
2023-01-18,415.0,444.9,413.0,427.5,3.01
2023-01-17,409.0,431.0,398.0,415.0,-0.07
2023-01-12,413.0,423.0,393.0,415.3,0.1
2023-01-10,440.0,457.7,403.0,414.9,-5.7
2023-01-09,412.0,448.9,408.7,440.0,5.52
2023-01-08,392.0,417.0,384.2,417.0,4.25
2023-01-05,397.6,405.0,390.0,400.0,-1.4
2023-01-04,361.7,405.7,361.7,405.7,9.98
2023-01-03,356.1,370.0,356.1,368.9,1.63
2023-01-02,365.0,366.9,358.0,363.0,0.28
2023-01-01,365.0,377.0,359.0,362.0,-2.69
2022-12-29,353.0,373.0,351.6,372.0,3.33
2022-12-28,369.8,369.8,351.0,360.0,-1.56
2022-12-27,375.0,384.0,358.0,384.0,4.07
2022-12-26,342.8,369.0,342.8,369.0,9.79
2022-12-22,340.0,342.0,333.9,336.1,-1.35
2022-12-21,336.0,344.7,336.0,340.7,-0.38
2022-12-20,336.0,343.0,336.0,342.0,0.59
2022-12-19,333.2,340.0,332.0,340.0,0.0
2022-12-18,338.0,340.0,330.0,340.0,-1.16
2022-12-15,344.0,350.8,340.0,344.0,-1.71
2022-12-14,343.0,354.5,343.0,350.0,0.57
2022-12-13,338.3,348.0,338.3,348.0,0.9
2022-12-12,334.2,344.9,330.0,344.9,1.14
2022-12-11,337.0,342.0,331.0,341.0,-0.73
2022-12-07,340.1,346.5,337.1,343.5,0.12
2022-12-06,338.0,345.0,338.0,343.1,0.91
2022-12-05,346.0,358.0,339.3,340.0,-3.13
2022-12-04,344.8,351.0,340.0,351.0,1.8
2022-12-01,336.1,353.0,336.1,344.8,0.79
2022-11-30,336.1,350.5,336.1,342.1,0.65
2022-11-29,329.4,345.0,327.2,339.9,1.13
2022-11-28,338.2,341.0,333.0,336.1,-2.01
2022-11-27,330.0,343.0,323.5,343.0,2.39
2022-11-24,325.0,335.0,325.0,335.0,2.01
2022-11-23,332.0,332.0,318.8,328.4,0.77
2022-11-22,340.0,350.0,321.1,325.9,-3.86
2022-11-17,330.0,341.5,322.0,339.0,2.73
2022-11-16,316.8,337.6,316.8,330.0,3.13
2022-11-15,321.0,328.0,320.0,320.0,-2.26
2022-11-14,317.5,338.0,317.0,327.4,2.63
2022-11-13,321.6,326.0,319.0,319.0,-2.71
2022-11-10,328.0,330.0,321.5,327.9,-1.5
2022-11-09,343.0,343.0,327.0,332.9,-4.89
2022-11-08,343.0,350.0,337.5,350.0,0.0
2022-11-07,333.4,370.0,331.0,350.0,2.94
2022-11-06,334.0,343.7,330.0,340.0,1.8
2022-11-03,327.1,340.0,327.1,334.0,0.18
2022-11-02,334.0,342.0,316.0,333.4,1.58
2022-11-01,320.0,338.1,310.0,328.2,0.67
2022-10-31,320.5,330.0,310.1,326.0,-0.31
2022-10-23,329.9,330.3,317.0,327.0,-2.85
2022-10-20,316.1,336.6,310.5,336.6,4.37
2022-10-19,333.0,335.0,322.5,322.5,-3.73
2022-10-17,342.9,342.9,332.0,335.0,-4.23
2022-10-16,336.2,349.8,330.0,349.8,1.98
2022-10-13,347.0,353.0,341.2,343.0,-3.0
2022-10-12,335.1,356.0,331.0,353.6,3.54
2022-10-11,360.6,360.6,336.3,341.5,-7.18
2022-10-10,368.0,368.0,343.6,367.9,0.25
2022-10-09,358.0,367.0,348.0,367.0,2.51
2022-09-29,338.1,361.0,338.1,358.0,3.77
2022-09-28,355.8,360.0,345.0,345.0,-4.96
2022-09-27,360.0,367.2,340.0,363.0,2.28
2022-09-25,360.0,360.0,345.0,354.9,-1.42
2022-09-22,375.0,394.0,353.0,360.0,-5.26
2022-09-21,395.0,395.0,380.0,380.0,-2.06
2022-09-20,405.0,405.0,380.0,388.0,-5.13
2022-09-18,414.6,414.6,394.0,409.0,-3.31
2022-09-16,402.8,423.3,389.0,423.0,2.92
2022-09-15,429.0,430.0,403.1,411.0,-5.95
2022-09-14,415.0,440.0,415.0,437.0,3.8
2022-09-13,415.0,436.5,415.0,421.0,0.24
2022-09-12,418.7,421.0,416.0,420.0,-1.64
2022-09-11,431.0,439.0,422.6,427.0,-2.29
2022-09-08,421.0,437.0,416.7,437.0,3.7
2022-09-07,417.6,430.0,411.0,421.4,-1.08
2022-09-06,418.0,433.0,412.0,426.0,0.14
2022-09-05,423.6,437.5,423.6,425.4,-0.84
2022-09-04,415.0,444.0,415.0,429.0,1.9
2022-09-02,420.6,444.7,420.1,421.0,-1.86
2022-09-01,406.1,433.0,400.7,429.0,3.62
2022-08-31,430.0,450.0,412.0,414.0,-4.61
2022-08-30,432.0,456.0,432.0,434.0,-1.36
2022-08-29,437.0,452.0,423.3,440.0,-1.12
2022-08-28,445.9,455.9,428.5,445.0,-2.18
2022-08-26,457.0,457.0,449.0,454.9,-1.32
2022-08-25,472.0,480.0,460.1,461.0,-2.33
2022-08-24,469.5,480.0,461.1,472.0,-1.46
2022-08-23,471.8,480.0,467.0,479.0,-0.5
2022-08-22,466.5,495.0,465.2,481.4,1.13
2022-08-21,498.7,505.0,475.0,476.0,-2.66
2022-08-18,484.0,499.5,466.1,489.0,2.95
2022-08-17,460.0,480.0,453.0,475.0,1.71
2022-08-16,469.9,493.0,458.0,467.0,-1.68
2022-08-15,459.0,475.2,450.0,475.0,3.44
2022-08-14,463.6,486.0,458.7,459.2,-1.88
2022-08-11,468.0,499.0,468.0,468.0,-1.89
2022-08-10,477.3,484.5,470.0,477.0,-2.05
2022-08-09,488.0,515.0,480.0,487.0,-2.01
2022-08-08,491.5,520.0,480.0,497.0,3.11
2022-08-07,470.0,504.0,465.1,482.0,2.1
2022-08-05,477.5,482.4,459.0,472.1,-3.06
2022-08-04,466.0,495.5,448.0,487.0,4.48
2022-08-03,450.0,482.6,435.0,466.1,4.25
2022-08-02,399.0,447.1,398.0,447.1,9.99
2022-08-01,395.8,410.1,375.1,406.5,2.7
2022-07-31,385.5,395.8,370.0,395.8,4.71
2022-07-29,374.7,404.1,363.0,378.0,2.89
2022-07-28,334.0,367.4,334.0,367.4,10.0
